area_of_protection,n_categories,sc1,sc2_gross,sc2_saving,sc2_net,sc3_gross,sc3_saving,sc3_net,sc4_gross,sc4_saving,sc4_net,unit
human health,8,0.00033178492644571507,0.0003321646455158514,3.147622305070578e-05,0.0003006884224651457,0.0003329855458253744,7.126073839472666e-05,0.00026172480743064775,0.00033290593400911315,0.00010886000651301721,0.00022404592749609585,DALY
ecosystem quality,12,4.6572805092117924e-07,4.6591423892917036e-07,3.4873210523980105e-08,4.310410284051902e-07,4.657023422413397e-07,7.422239650011143e-08,3.9147994574122834e-07,4.6571265440518324e-07,1.2006961115636163e-07,3.4564304324882164e-07,species.yr
resources,2,3.7135241389124563,3.714985348467638,0.3410101388631719,3.373975209604466,3.7157850863571187,0.6422512893811781,3.0735337969759406,3.7157285460477025,1.0865437123076078,2.6291848337400943,USD2013
