iteration,Acidification,Climate change,Climate change (biogenic),Climate change (fossil),Climate change (land use),Ecotoxicity freshwater,Ecotoxicity freshwater (inorganics),Ecotoxicity freshwater (organics),Eutrophication freshwater,Eutrophication marine,Eutrophication terrestrial,Human toxicity cancer,Human toxicity cancer (inorganics),Human toxicity cancer (organics),Human toxicity non-cancer,Human toxicity non-cancer (inorganics),Human toxicity non-cancer (organics),Ionising radiation (human health),Land use,Ozone depletion,Particulate matter,Photochemical ozone formation (human health),Resource use fossils,Resource use minerals and metals,Water use
1,0.15902682983637978,14.401232604080834,0.03582826917962186,14.255490548441816,0.10991378645939569,474.9570808146143,470.14167229850057,4.815408516114435,0.026550479062569417,0.028711569760481614,0.3125938201986035,8.059111111619733e-08,7.660542872028173e-08,3.985682395915601e-09,7.443174624366177e-06,7.4178136534341576e-06,2.5360970665363456e-08,1.428457484826284,127.87521723575945,1.9502942446514006e-06,9.820398325263822e-07,0.08325023496030434,201.1213956757773,0.008181280515173877,-216.05966378527864
2,0.1733324358379605,15.705251515175854,0.037638723234179515,15.577356521878498,0.09025627006317771,1045.008486730054,1040.0050926426584,5.003394087395727,0.027135797635481275,0.029424814769682783,0.3311897167205801,-3.791456332231449e-07,-3.871346557366318e-07,7.98902251348694e-09,-4.7150191929872814e-05,-4.7177149303204646e-05,2.695737299407045e-08,0.8215611042951622,62.12258295888551,1.5890749110204636e-06,1.2173079971113847e-06,0.08558623774658235,215.5310540838371,0.009072151026657009,-975.5708253628336
3,0.18169203703534764,16.85158905339995,0.04041219124702776,16.726305401450208,0.08487146070271509,572.2313585877446,565.8485828280403,6.382775759703246,0.023995832231594152,0.031973442662434515,0.36301510248742985,8.090689738338586e-08,7.39481660662072e-08,6.95873131717863e-09,7.475888734492355e-06,7.449406037278387e-06,2.648269688141478e-08,1.4813894347217542,-18.535492060978513,1.3752244519160446e-06,1.0125372436209693e-06,0.09133312121977608,226.7196990458931,0.009228099069088093,-34.40701890571381
4,0.1724055942896701,15.592721111759351,0.04380289893106009,15.45601038528981,0.09290782753848345,698.313819555544,693.8774895968805,4.436329958662676,0.02797675889327123,0.025753089310729192,0.30181832453857727,4.2841553467815254e-07,4.239624171439099e-07,4.453117534242713e-09,4.985214206930901e-05,4.982148844678815e-05,3.06536221026055e-08,5.367876738344062,95.54182845568035,2.152436335489344e-06,9.97261477759638e-07,0.07749024470609486,217.82139757855978,0.008927284570121858,225.52511919387416
5,0.16928721450336048,14.605768751970894,0.035884793175970695,14.469601363211984,0.10028259558293963,413.5917361542403,408.09272438159627,5.499011772644208,0.025809624588491942,0.026934307324629533,0.3266302492174812,-4.278686077024255e-07,-4.3387090624670974e-07,6.0022985442841255e-09,-5.368874531395317e-05,-5.371418873440753e-05,2.544342004580962e-08,3.585491723386486,103.24704413725539,1.5091724426705726e-06,1.703576015026981e-06,0.07753000314151681,199.12607527145968,0.00829166232167382,289.3833112631319
6,0.16929448477985962,16.008249234682687,0.04375739912114153,15.87419147027018,0.09030036529136563,559.45292519265,554.7718285152383,4.681096677411211,0.02718839094182214,0.027185937138692856,0.30252535445954765,-8.538664888097118e-08,-9.117844896914575e-08,5.791800088174557e-09,-1.2409512045955e-05,-1.2436312597172091e-05,2.6800550579171435e-08,1.2672682939075164,169.27450041248716,1.2656490660492868e-06,1.3321388828649466e-06,0.08158959204205814,204.4324050208039,0.008990047744698717,-415.0111394212654
7,0.16443586759626516,14.518730452570098,0.04027169364979668,14.380975017918718,0.09748374100158345,681.0543056621902,676.8122188549999,4.2420868071903515,0.025397463218313848,0.027339325862601554,0.3177081658159372,2.3084591204585442e-07,2.2594350701904245e-07,4.902405026811993e-09,2.5730710344772403e-05,2.5703535091721055e-05,2.717525277975503e-08,1.368922998415023,-31.2890085265241,1.1276744820918717e-06,8.399566924923915e-07,0.08051798756527484,192.55380672655912,0.008372170341760191,-208.69538376331093
8,0.18193265195813574,17.729397526293894,0.043786046013920825,17.569657639236297,0.11595384104367612,603.5207125927519,598.0630838566228,5.457628736129543,0.028993103942222178,0.029042731449272798,0.32565540099450513,8.195343532576913e-08,7.688952285826829e-08,5.063912467500854e-09,6.584947404636004e-06,6.5570615260721704e-06,2.788587794362074e-08,1.997215495178565,36.1390731828363,1.5459828060514143e-06,8.620856221227558e-07,0.08603415918194504,229.54458895811064,0.009453053309450178,-505.8831457989136
9,0.16410615221136016,14.404597858245623,0.037507913084639966,14.285379701720291,0.08171024344069147,691.3164772293521,685.9363418198635,5.380135409487985,0.02517297386251851,0.0265969564179655,0.30176060561710133,-3.228217842811701e-08,-3.5871982881503806e-08,3.5898044533868074e-09,-3.652702497622759e-06,-3.680368061240487e-06,2.7665563115153276e-08,1.3535952279424983,114.04173868302297,1.2263279409894193e-06,1.105833431498921e-06,0.0792815332179586,180.51735777461744,0.008479863354569309,11.532218872504018
10,0.16933682942230915,15.186553912269417,0.036719858371045945,15.059621480214032,0.09021257368433748,503.86418100293656,498.2013365774805,5.662844425456539,0.025547692264263688,0.030221388497562948,0.3413107817673945,-3.9253337788483455e-07,-3.9989498509391107e-07,7.361607209076608e-09,-5.0167271954920134e-05,-5.019175962405546e-05,2.4487668742063705e-08,1.1729674910347012,42.697762893444185,1.403950393747155e-06,9.446875021691704e-07,0.09083532030838318,195.68077688410781,0.008285141242398611,738.3280304275331
11,0.1667574509841727,15.789605746877708,0.04299998814607213,15.664605381800525,0.08200037693111253,613.4830882001504,608.2227066000606,5.260381600089879,0.029185355715500568,0.027462137721578316,0.29621938429034966,3.575689238300603e-07,3.5251256176108467e-07,5.056362068975699e-09,3.97452870680379e-05,3.971782774191467e-05,2.7459325612360817e-08,1.8868782093036827,-29.883976367887392,1.242686043917471e-06,9.295048974254344e-07,0.08198518923622139,218.85201919019585,0.008683250554032474,-325.9649743563232
