iteration,Acidification,Climate change,Climate change (biogenic),Climate change (fossil),Climate change (land use),Ecotoxicity freshwater,Ecotoxicity freshwater (inorganics),Ecotoxicity freshwater (organics),Eutrophication freshwater,Eutrophication marine,Eutrophication terrestrial,Human toxicity cancer,Human toxicity cancer (inorganics),Human toxicity cancer (organics),Human toxicity non-cancer,Human toxicity non-cancer (inorganics),Human toxicity non-cancer (organics),Ionising radiation (human health),Land use,Ozone depletion,Particulate matter,Photochemical ozone formation (human health),Resource use fossils,Resource use minerals and metals,Water use
1,0.11601403028987661,8.629718199290325,0.030007970696261065,8.514498522802294,0.08521170579176704,498.8274156741316,496.43533227535573,2.3920833987755152,0.023289917550410277,0.0166632262979376,0.18988031770270838,-2.0649358184501043e-07,-2.102336283245049e-07,3.7400464794944696e-09,-2.5029511824134402e-05,-2.5050985913058234e-05,2.1474088739349254e-08,0.6271039255041957,165.23622167390246,6.848663943527901e-07,6.934556106714283e-07,0.049035375790587254,112.1931798151694,0.005838321820511283,789.1534853843978
2,0.11716852706129931,8.170948231057451,0.026111670538457084,8.071961301002986,0.0728752595160077,290.3317757642733,287.72390900951285,2.6078667547595957,0.01664677965424041,0.018116773803359812,0.21456621660066658,-1.132690500647193e-07,-1.1901221653994957e-07,5.743166475230229e-09,-1.4870919973435883e-05,-1.4892375259180438e-05,2.1455285526501738e-08,0.6196027699291357,5.966017386385227,7.432311260249672e-07,5.88714286547772e-07,0.05465478447110295,108.33728191847474,0.006036870194823379,328.2249226656386
3,0.11893410591932699,8.671992122888241,0.02741895451767272,8.55262238916573,0.0919507792048379,541.2055533975544,538.3645475880888,2.8410058094674406,0.019886054406810023,0.017730794310853053,0.20041292874186722,2.580692640750979e-07,2.541403676042167e-07,3.9288964708811845e-09,3.0035938908292513e-05,3.001446152521681e-05,2.147738282077881e-08,0.7143744382935251,179.42462398884254,8.220951613097098e-07,7.340734997595559e-07,0.051719746526294144,113.16466119228164,0.005793941398973442,-468.22914903794754
4,0.11896662126734917,8.562747939534503,0.028724994446281238,8.45909746878642,0.0749254763018029,419.8116303925045,416.9651732451723,2.84645714733248,0.018046278713674462,0.017031967448615997,0.1974573117206973,3.405798981359092e-07,3.369577605367373e-07,3.622137599171868e-09,3.8429986092225996e-05,3.840855762117049e-05,2.1428470811294198e-08,3.3764119146044105,30.19991746996871,6.524071631408818e-07,8.581546806370676e-07,0.0514653739374001,117.93670701153447,0.006066668328902792,677.9979728070552
5,0.11354327704650254,7.947096917097412,0.023371075145777156,7.8678265485621734,0.05589929338946256,336.76260952469704,334.22178512806795,2.5408243966292177,0.015228529140576538,0.017592262065637035,0.204184522234107,2.65326917720502e-08,2.3069572380903222e-08,3.463119391146969e-09,3.946969602092546e-06,3.925823022071046e-06,2.1146579804093756e-08,0.7624757698013993,91.8548171346166,6.287781001040029e-07,8.001431044125911e-07,0.0514141426210185,110.93819354113998,0.00581887800866835,170.74815804945956
6,0.11274637163915055,8.194371757339253,0.024913064463154673,8.085159389510496,0.08429930336560312,443.081492132403,440.1992264546606,2.8822656777416027,0.014735860258440463,0.015381018543169523,0.17615968757640724,-2.4521761417245866e-07,-2.4966597813245637e-07,4.4483639599978266e-09,-2.9909090879641372e-05,-2.9930268401752592e-05,2.1177521941089013e-08,0.8656324603246415,-91.43564925787344,4.4953624781260607e-07,5.866465557243159e-07,0.04773071761847896,113.59381272584204,0.006075475236249876,236.1508660944619
7,0.12343223901941605,9.013674775237956,0.026806629377700446,8.928686289910411,0.05818185594984389,367.4102380459574,364.45784293888846,2.952395107069361,0.02079971527157713,0.01850268794320041,0.20988171071990702,-1.4795088321589684e-07,-1.528511736050979e-07,4.900290389201026e-09,-1.88622688991246e-05,-1.888437182429882e-05,2.2102924999280504e-08,0.5642768613901121,107.07802458081804,6.100629818252749e-07,6.414571816200689e-07,0.05490864513258704,128.10448614961388,0.006054111016207917,326.43625530538066
8,0.12265161349913149,8.632523065757683,0.02811370470940486,8.528440581827846,0.07596877922043252,360.6649021381078,357.6590879815521,3.0058141565556307,0.01694146250625168,0.019060668715576965,0.21541358444297146,1.4629107581931144e-07,1.3604780112030083e-07,1.0243274699010632e-08,1.7244375207325824e-05,1.722209038298141e-05,2.228482406752323e-08,0.8051715043194041,-2.1165819345215455,6.221791258892377e-07,7.689679148348751e-07,0.055340117909470014,115.50497044348688,0.005998981218323943,426.22691150542596
9,0.11412918269284328,8.102209083215476,0.024318064730752154,8.009527440586565,0.06836357789815652,372.549408801999,369.3786891808392,3.17071962115958,0.023880194190788583,0.017744171376202374,0.2018364766696053,-5.476675429698163e-08,-5.804440431272798e-08,3.277650015746331e-09,-6.691323879178405e-06,-6.713011258722548e-06,2.1687379346929153e-08,0.8202544150439693,71.88090624883048,4.896413228258572e-07,5.358087630533738e-07,0.052594002295076735,103.58173201926138,0.005999238467669498,307.1374638481061
10,0.12721269628780926,8.39591598164058,0.02444659355835642,8.309757084525835,0.061712303556389715,364.234637362194,361.33250516224587,2.902132199948249,0.014394858383318773,0.02047035708732082,0.24878895927509895,2.5958533746298735e-07,2.542388507557366e-07,5.346486707250834e-09,2.918908997721164e-05,2.916702183722002e-05,2.2068139795453522e-08,0.8496851439829758,49.19738757046249,6.007250053172093e-07,7.733540162389906e-07,0.058933868386652086,112.57719496739938,0.005857849259225457,-389.0493475998751
