iteration,Acidification,Climate change,Climate change (biogenic),Climate change (fossil),Climate change (land use),Ecotoxicity freshwater,Ecotoxicity freshwater (inorganics),Ecotoxicity freshwater (organics),Eutrophication freshwater,Eutrophication marine,Eutrophication terrestrial,Human toxicity cancer,Human toxicity cancer (inorganics),Human toxicity cancer (organics),Human toxicity non-cancer,Human toxicity non-cancer (inorganics),Human toxicity non-cancer (organics),Ionising radiation (human health),Land use,Ozone depletion,Particulate matter,Photochemical ozone formation (human health),Resource use fossils,Resource use minerals and metals,Water use
1,0.6244707938393032,88.1270384363934,0.24078884483280946,87.53231087856886,0.35393871299173135,1540.7467505619409,1519.6751175615686,21.0716330003729,0.14081625910380788,0.11062827232710051,1.0558616073392184,2.2625892294847908e-06,2.2482568086944948e-06,1.4332420790295314e-08,0.00026202490810644624,0.0002619666253107339,5.828279395731635e-08,13.670165786836115,437.78533145576085,6.8545798636981e-06,2.9578990564556928e-06,0.291258765838287,1197.4647484328543,0.018966883844363475,-987.4830465528285
2,0.5820802985468221,83.5211403590324,0.2656909429485106,83.08357070513476,0.1718787109491296,1310.5910895439642,1284.5229022939789,26.068187249986565,0.10128285293119187,0.11019588330614667,1.0443616472768102,1.336846144140273e-06,1.3189583026397444e-06,1.7887841500529004e-08,0.00015199488697925705,0.00015194399487508027,5.089210281664413e-08,15.559543614710721,385.7149666474991,6.731482155072369e-06,2.878795437358147e-06,0.28082254989549454,1189.3194660773127,0.01824793595754574,797.9839032035889
3,0.6868517806132709,92.52844280932145,0.2999000608217656,91.99917008797212,0.22937266052757427,1371.3971915673512,1354.7936727040399,16.603518863309912,0.12402869448553312,0.11725136120448323,1.15535284314697,-2.469929602713722e-06,-2.484414213644206e-06,1.4484610930483833e-08,-0.00029675268348515216,-0.00029680991397411653,5.723048782076648e-08,42.36836042358693,311.824986309626,8.188559380624618e-06,3.1281693290913262e-06,0.3125806823381385,1310.6128509436649,0.018447346831554308,-552.5501955289183
4,0.876835505298853,153.32455125589584,0.47385132906223465,152.53647476327447,0.3142251635591365,1929.2844140926754,1898.2633914737266,31.021022618950287,0.1682192864435184,0.17333710232171023,1.751995062649972,-3.0746067955181156e-06,-3.0971968088411258e-06,2.259001332301008e-08,-0.0003680658769498105,-0.00036813906240415906,7.318545304897047e-08,12.297142754864513,577.3489335642341,1.091084975683917e-05,5.002382747403818e-06,0.4247582605087067,2149.4501955844426,0.0220866571201242,-662.9552391958205
5,0.6261856436718911,72.55855331711601,0.2502647339953097,71.97710549103252,0.33118309208817975,1432.9689112702558,1411.1673704004131,21.801540869843063,0.11603707221358134,0.10121745078937054,1.0465200428857566,1.242479221848539e-07,1.067033867217508e-07,1.75445354631031e-08,1.2342584309729028e-05,1.22902899555734e-05,5.229435297899708e-08,6.075605058330341,392.1893301551048,6.214446346780923e-06,2.6926460777918784e-06,0.2865750819718101,995.9004650038949,0.019160439268223577,1233.370890192873
6,0.5933021006376717,79.81122653600205,0.20486986616672553,79.34555160160244,0.2608050682328985,1580.6767644561728,1557.0776965193852,23.599067936785744,0.1054669071518612,0.10060082551447747,0.9810209600171772,-1.2747885018994492e-06,-1.2876214761830442e-06,1.283297428359437e-08,-0.0001525929198020604,-0.0001526451526898541,5.223288690593412e-08,10.203848173087483,396.4486373038863,6.062319682138974e-06,2.6609864500168545e-06,0.2719022597167645,1079.7115214968585,0.017973897553901837,913.7469387614437
7,0.6689850375899794,102.60508109648309,0.28853813778891985,101.96549344489836,0.3510495137958143,1450.361893871285,1429.515769446711,20.846124424574146,0.14758855706993204,0.12526464678170957,1.2064540066310208,-7.860977126370428e-07,-8.033930021726298e-07,1.729528953558665e-08,-0.00010167785374676143,-0.00010173480687111881,5.6953122894669094e-08,16.21737208014061,503.1025025540522,5.917464561750858e-06,3.6471084109673476e-06,0.33120040525896366,1422.3956905924986,0.01863646125840841,2373.8287957233806
8,0.5981441530199122,86.96073558682706,0.2662865229952662,86.44550565203264,0.24894341179915028,1384.8682608462582,1356.826456798279,28.04180404798081,0.11239194869661003,0.1071401794451958,1.0531682213798916,-1.664812374506508e-06,-1.6817620542132775e-06,1.6949679706769757e-08,-0.00020678242820226664,-0.00020683883087076855,5.6402667151773907e-08,8.449150359483465,844.6536095586504,6.2371589605677666e-06,3.394997053282314e-06,0.2723180286990765,1223.3251432589304,0.01909368608828478,1615.385580068265
9,0.7006017856753852,121.21486898169537,0.35114549158975306,120.48407094334249,0.3796525467631561,1484.0225352760567,1464.2473937180328,19.77514155802635,0.17939416942650147,0.13719972286652868,1.2633977359362627,-4.2370521251883805e-06,-4.254418781335194e-06,1.736665614681225e-08,-0.0005083868348268956,-0.00050844782963617,6.099480843914467e-08,23.932546542782344,523.5077580007421,8.016400045818545e-06,2.8790954704216437e-06,0.32207298876326335,1754.4091004979853,0.019033612104735247,-826.705029708075
10,0.7170598988932118,106.97719219554381,0.34226117664418654,106.37249029918061,0.2624407197190162,1701.6458445616056,1684.5163424511798,17.129502110425104,0.15486486513554054,0.1263292702891084,1.206571696133403,-6.053451211505457e-07,-6.234781094578132e-07,1.8132988307267353e-08,-8.19494936961153e-05,-8.20118822409981e-05,6.238854354486509e-08,7.332938182723925,920.7061431092886,7.588375317174035e-06,2.9984619075466697e-06,0.3104634102377962,1506.932542518065,0.019556819941420826,-1210.131025971008
